,title,genres,overview,release_date,runtime,review,language,popularity,cast,crew,content to embed
0,Timelesness of the Unsaid,['Romance'],,,0,0.0,tr,0.6,"['Başar Ertürk', 'Elif Kalın', 'Emir Bahadır Apaydın', 'Beyza Yalçınkaya']","['demir demirbağ', 'demir demirbağ', 'Başar Ertürk']","Movie Name: Timelesness of the Unsaid 
 Movie Genre: ['Romance'] 
 Movie Overview:  
 Movie Release Date:  
 Movie Runtime: 0 
 Movie Review: 0.0 
 Movie Language: tr 
 Movie Popularity: 0.6 
 Cast: ['Başar Ertürk', 'Elif Kalın', 'Emir Bahadır Apaydın', 'Beyza Yalçınkaya'] 
 Crew: ['demir demirbağ', 'demir demirbağ', 'Başar Ertürk']"
1,A Hundred Flowers,"['Drama', 'Family']","Diagnosed with dementia, Yuriko's mind quickly begins to fade. Yet, for her son Izumi, memories of the mother feel as vivid as when he lived them. One in particular, when he believed she had disappeared, haunts him terribly.",2022-09-09,104,6.9,ja,3.545,"['Masaki Suda', 'Mieko Harada', 'Masami Nagasawa', 'Masatoshi Nagase', 'Yukiya Kitamura', 'Amane Okayama', 'Yumi Kawai', 'Keishi Nagatsuka', 'Yuka Itaya', 'Misuzu Kanno']","['Genki Kawamura', 'Genki Kawamura', 'Genki Kawamura', 'Shouhei Amimori', 'Satomi Odake']","Movie Name: A Hundred Flowers 
 Movie Genre: ['Drama', 'Family'] 
 Movie Overview: Diagnosed with dementia, Yuriko's mind quickly begins to fade. Yet, for her son Izumi, memories of the mother feel as vivid as when he lived them. One in particular, when he believed she had disappeared, haunts him terribly. 
 Movie Release Date: 2022-09-09 
 Movie Runtime: 104 
 Movie Review: 6.9 
 Movie Language: ja 
 Movie Popularity: 3.545 
 Cast: ['Masaki Suda', 'Mieko Harada', 'Masami Nagasawa', 'Masatoshi Nagase', 'Yukiya Kitamura', 'Amane Okayama', 'Yumi Kawai', 'Keishi Nagatsuka', 'Yuka Itaya', 'Misuzu Kanno'] 
 Crew: ['Genki Kawamura', 'Genki Kawamura', 'Genki Kawamura', 'Shouhei Amimori', 'Satomi Odake']"
2,Asian School Girls,"['Action', 'Thriller', 'Drama']","Kidnapped by a Los Angeles crime syndicate, a group of schoolgirls must fight and seduce their way to vengeance after one of them committed suicide, teaching the criminals a lesson in kicking butt and taking names.",2014-04-15,90,3.212,en,6.399,"['Minnie Scarlet', 'Sam Aotaki', 'Catherine Hyein Kim', 'Belle Hengsathorn', 'Andray Johnson', 'Andrew Callahan', 'John C. Epperson', 'William Thomas Jones', 'Xin Sarith Wuku', 'Roger Lim', 'Rich Grosso', 'Jeff Houkal', 'J. Kristopher', 'Jonathan Nation', 'Kevin Ging', 'Danny Ledsinger', 'Mitch Lerner', 'Anthony Porembski', 'Robert Santana Jr.', 'Lucas Davis', 'Jonah Keal', 'Anders Mickelson', 'A.J. Rivera', 'Howie Walfish']","['David Michael Latt', 'Lawrence Silverstein', 'Paul Bales', 'Chris Ridenhour', 'David Rimawi', 'Rob Pallatina', 'Ashli Pingry', 'Tim Culley', 'Chris Cano', 'Brian Weber', 'F. Joseph Burns', 'Charlotte Orlove', 'Mariah Kraft', 'Lauren Elizabeth Hood']","Movie Name: Asian School Girls 
 Movie Genre: ['Action', 'Thriller', 'Drama'] 
 Movie Overview: Kidnapped by a Los Angeles crime syndicate, a group of schoolgirls must fight and seduce their way to vengeance after one of them committed suicide, teaching the criminals a lesson in kicking butt and taking names. 
 Movie Release Date: 2014-04-15 
 Movie Runtime: 90 
 Movie Review: 3.212 
 Movie Language: en 
 Movie Popularity: 6.399 
 Cast: ['Minnie Scarlet', 'Sam Aotaki', 'Catherine Hyein Kim', 'Belle Hengsathorn', 'Andray Johnson', 'Andrew Callahan', 'John C. Epperson', 'William Thomas Jones', 'Xin Sarith Wuku', 'Roger Lim', 'Rich Grosso', 'Jeff Houkal', 'J. Kristopher', 'Jonathan Nation', 'Kevin Ging', 'Danny Ledsinger', 'Mitch Lerner', 'Anthony Porembski', 'Robert Santana Jr.', 'Lucas Davis', 'Jonah Keal', 'Anders Mickelson', 'A.J. Rivera', 'Howie Walfish'] 
 Crew: ['David Michael Latt', 'Lawrence Silverstein', 'Paul Bales', 'Chris Ridenhour', 'David Rimawi', 'Rob Pallatina', 'Ashli Pingry', 'Tim Culley', 'Chris Cano', 'Brian Weber', 'F. Joseph Burns', 'Charlotte Orlove', 'Mariah Kraft', 'Lauren Elizabeth Hood']"
3,Headwinds,"['Drama', 'Mystery']",Sarah tells Paul that she wants out of their marriage; the next day she disappears. A year later and Paul along with their children return to his childhood town to start anew after the loss of his wife and their mother.,2011-12-14,91,5.768,fr,9.162,"['Benoît Magimel', 'Isabelle Carré', 'Antoine Duléry', 'Bouli Lanners', 'Marie-Ange Casta', 'Audrey Tautou', 'Lubna Azabal', 'Ramzy Bedia', 'Daniel Duval', 'Aurore Clément', 'Hugo Fernández', 'Cassiopée Mayance', 'Nicolas Briançon', 'Mélanie Leray', 'Azzedine Bouabba', 'Jean-Édouard Bodziak', 'Geneviève Robin', 'Pascal Orveillon', 'Loïc Baylacq', 'Claire Chiron']","['Miguel Rejas', 'Monica Coleman', 'Alain Guffroy', 'Jalil Lespert', 'Jalil Lespert', 'Olivier Adam', 'Olivier Adam', 'Josée Deshaies', 'Wassim Béji', 'Yannick Bolloré', 'Marion Laine', 'Marie-Pierre Huster', 'Stéphane Thiébaut', 'Sandra Berrebi', 'David Moreau', 'Vincent Milner', 'Hyat Luszpinski', 'Tina Rovère', 'Stéphanie Téchenet']","Movie Name: Headwinds 
 Movie Genre: ['Drama', 'Mystery'] 
 Movie Overview: Sarah tells Paul that she wants out of their marriage; the next day she disappears. A year later and Paul along with their children return to his childhood town to start anew after the loss of his wife and their mother. 
 Movie Release Date: 2011-12-14 
 Movie Runtime: 91 
 Movie Review: 5.768 
 Movie Language: fr 
 Movie Popularity: 9.162 
 Cast: ['Benoît Magimel', 'Isabelle Carré', 'Antoine Duléry', 'Bouli Lanners', 'Marie-Ange Casta', 'Audrey Tautou', 'Lubna Azabal', 'Ramzy Bedia', 'Daniel Duval', 'Aurore Clément', 'Hugo Fernández', 'Cassiopée Mayance', 'Nicolas Briançon', 'Mélanie Leray', 'Azzedine Bouabba', 'Jean-Édouard Bodziak', 'Geneviève Robin', 'Pascal Orveillon', 'Loïc Baylacq', 'Claire Chiron'] 
 Crew: ['Miguel Rejas', 'Monica Coleman', 'Alain Guffroy', 'Jalil Lespert', 'Jalil Lespert', 'Olivier Adam', 'Olivier Adam', 'Josée Deshaies', 'Wassim Béji', 'Yannick Bolloré', 'Marion Laine', 'Marie-Pierre Huster', 'Stéphane Thiébaut', 'Sandra Berrebi', 'David Moreau', 'Vincent Milner', 'Hyat Luszpinski', 'Tina Rovère', 'Stéphanie Téchenet']"
4,Busty And Insatiable 4,[],,2018-10-29,0,0.0,fr,0.0,"['Abigail Mac', 'Alison Tyler', 'Nikita von James', 'Alix Lynx', 'Marcus London', 'Ryan McLane', 'Bruce Venture', 'Derrick Pierce']",[],"Movie Name: Busty And Insatiable 4 
 Movie Genre: [] 
 Movie Overview:  
 Movie Release Date: 2018-10-29 
 Movie Runtime: 0 
 Movie Review: 0.0 
 Movie Language: fr 
 Movie Popularity: 0.0 
 Cast: ['Abigail Mac', 'Alison Tyler', 'Nikita von James', 'Alix Lynx', 'Marcus London', 'Ryan McLane', 'Bruce Venture', 'Derrick Pierce'] 
 Crew: []"
5,Mobfix Patrol,['Action'],This is an atypical police film from 1981 and an opportunity to see a younger Kent Cheng playing a policeman.,1981-10-29,99,7.0,cn,1.649,"['Chung Wang', 'Kent Cheng Jak-Si', 'Lung Tin-Sang', 'Ray Lui', 'Wong Ching', 'Lam Shung-Ching', 'Kwan Kam-Ming', 'Ha Lin-Sing', 'Choi King-Fai', 'Keung Hon', 'Chow Kin-Ping', 'Tony Leung Siu-Hung', 'Parkman Wong']","['Chiang Hsing-Lung', 'Mona Fong', 'Chung Wang']","Movie Name: Mobfix Patrol 
 Movie Genre: ['Action'] 
 Movie Overview: This is an atypical police film from 1981 and an opportunity to see a younger Kent Cheng playing a policeman. 
 Movie Release Date: 1981-10-29 
 Movie Runtime: 99 
 Movie Review: 7.0 
 Movie Language: cn 
 Movie Popularity: 1.649 
 Cast: ['Chung Wang', 'Kent Cheng Jak-Si', 'Lung Tin-Sang', 'Ray Lui', 'Wong Ching', 'Lam Shung-Ching', 'Kwan Kam-Ming', 'Ha Lin-Sing', 'Choi King-Fai', 'Keung Hon', 'Chow Kin-Ping', 'Tony Leung Siu-Hung', 'Parkman Wong'] 
 Crew: ['Chiang Hsing-Lung', 'Mona Fong', 'Chung Wang']"
6,Another Piece of Romance,['Comedy'],"Neglected women, all married to a bunch of lecherous brothers, plot to cut off their penises. The story, appropriately, is set in Thailand, where such revenge is practically a national sport",1994-03-24,91,0.0,cn,0.701,"['An-Ni', 'Wong Chun', 'Wu Fung', 'Ji Hung Chan']",['Yuen-yang Lu'],"Movie Name: Another Piece of Romance 
 Movie Genre: ['Comedy'] 
 Movie Overview: Neglected women, all married to a bunch of lecherous brothers, plot to cut off their penises. The story, appropriately, is set in Thailand, where such revenge is practically a national sport 
 Movie Release Date: 1994-03-24 
 Movie Runtime: 91 
 Movie Review: 0.0 
 Movie Language: cn 
 Movie Popularity: 0.701 
 Cast: ['An-Ni', 'Wong Chun', 'Wu Fung', 'Ji Hung Chan'] 
 Crew: ['Yuen-yang Lu']"
7,Tom and Jerry: The Magic Ring,"['Family', 'Animation', 'Fantasy', 'Comedy', 'Action']","The Oscar-winning cat-and-mouse twosome--Tom and Jerry--returns with another adventure. When Tom and Jerry's irrepressible curiosity gets the best of them, the mysterious magic ring that Tom guards with his life ends up stuck over Jerry's head. Now, Jerry must find a way to free himself of the ring while fleeing Tom, who wants to remove the ring any way he can! Find out if the pair can conjure up a solution in this fur-raising, madcap escapade.",2002-03-12,62,6.311,en,13.017,"['Jeff Bennett', 'Frank Welker', 'Charlie Schlatter', 'Jim Cummings', 'Maile Flanagan', 'Jess Harnell', 'Maurice LaMarche', 'Tress MacNeille', 'Tara Strong', 'Billy West']","['Joseph Barbera', 'William Hanna', 'James T. Walker', 'Julie McNally Cahill', 'Tom Minton', 'J. Eric Schmidt', 'Timothy Cahill', 'Bradford Keatts']","Movie Name: Tom and Jerry: The Magic Ring 
 Movie Genre: ['Family', 'Animation', 'Fantasy', 'Comedy', 'Action'] 
 Movie Overview: The Oscar-winning cat-and-mouse twosome--Tom and Jerry--returns with another adventure. When Tom and Jerry's irrepressible curiosity gets the best of them, the mysterious magic ring that Tom guards with his life ends up stuck over Jerry's head. Now, Jerry must find a way to free himself of the ring while fleeing Tom, who wants to remove the ring any way he can! Find out if the pair can conjure up a solution in this fur-raising, madcap escapade. 
 Movie Release Date: 2002-03-12 
 Movie Runtime: 62 
 Movie Review: 6.311 
 Movie Language: en 
 Movie Popularity: 13.017 
 Cast: ['Jeff Bennett', 'Frank Welker', 'Charlie Schlatter', 'Jim Cummings', 'Maile Flanagan', 'Jess Harnell', 'Maurice LaMarche', 'Tress MacNeille', 'Tara Strong', 'Billy West'] 
 Crew: ['Joseph Barbera', 'William Hanna', 'James T. Walker', 'Julie McNally Cahill', 'Tom Minton', 'J. Eric Schmidt', 'Timothy Cahill', 'Bradford Keatts']"
8,Mickey's House of Villains,"['Family', 'Animation', 'Comedy']","The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy. It's all up to Mickey and his friends to overthrow evil and return the House of Mouse to normal--or as close to normal as it gets.",2002-09-03,70,7.22,en,29.664,"['Wayne Allwine', 'Tony Anselmo', 'Jeff Bennett', 'Susanne Blakeslee', 'Corey Burton', 'Pat Carroll', 'Jim Cummings', 'Bill Farmer', 'John Fiedler', 'Jonathan Freeman', 'Matt Frewer', 'Gilbert Gottfried', 'Tress MacNeille', 'Russi Taylor', 'Scott Weinger', 'April Winchell', 'James Woods', 'Lois Nettleton', 'Bobcat Goldthwait', 'Rob Paulsen', 'Kevin Michael Richardson', 'John Cleese']","['Jamie Mitchell', 'Henry Gilroy', 'Melinda Rediger', 'Burt Gillett', 'Jack Hannah', 'Jack King', 'Tony Craig', 'Tony Craig', 'Thomas Hart', 'Roberts Gannaway', 'Roberts Gannaway', 'Roberts Gannaway', 'Jymn Magon', 'Jamie Thomason', 'Kevin D. Campbell', 'Rick Schneider', 'Mike Moon', 'Larry Johnson', 'Elizabeth Stonecipher', 'Sy Thomas']","Movie Name: Mickey's House of Villains 
 Movie Genre: ['Family', 'Animation', 'Comedy'] 
 Movie Overview: The villains from the popular animated Disney films are gathered at the House of Mouse with plans to take over. Soon, the villains take over the house and kick out Mickey, Donald and Goofy. It's all up to Mickey and his friends to overthrow evil and return the House of Mouse to normal--or as close to normal as it gets. 
 Movie Release Date: 2002-09-03 
 Movie Runtime: 70 
 Movie Review: 7.22 
 Movie Language: en 
 Movie Popularity: 29.664 
 Cast: ['Wayne Allwine', 'Tony Anselmo', 'Jeff Bennett', 'Susanne Blakeslee', 'Corey Burton', 'Pat Carroll', 'Jim Cummings', 'Bill Farmer', 'John Fiedler', 'Jonathan Freeman', 'Matt Frewer', 'Gilbert Gottfried', 'Tress MacNeille', 'Russi Taylor', 'Scott Weinger', 'April Winchell', 'James Woods', 'Lois Nettleton', 'Bobcat Goldthwait', 'Rob Paulsen', 'Kevin Michael Richardson', 'John Cleese'] 
 Crew: ['Jamie Mitchell', 'Henry Gilroy', 'Melinda Rediger', 'Burt Gillett', 'Jack Hannah', 'Jack King', 'Tony Craig', 'Tony Craig', 'Thomas Hart', 'Roberts Gannaway', 'Roberts Gannaway', 'Roberts Gannaway', 'Jymn Magon', 'Jamie Thomason', 'Kevin D. Campbell', 'Rick Schneider', 'Mike Moon', 'Larry Johnson', 'Elizabeth Stonecipher', 'Sy Thomas']"
9,Krim Belkacem,"['History', 'Drama', 'War']","This film retraces the combat journey of Krim Belkacem, one of the leading figures of the Algerian War. When he left the Dellys barracks in October 1945, the day after the Second World War, Krim Belkacem was 23 years old. He is a man revolted by the May massacres in Sétif, Guelma, Kherrata and several other localities in the ravaged country. But it is also and above all a young Algerian who questions the future of Algeria. On March 21, 1947, Krim at the age of 25, he dug up his ""Sten"" submachine gun, he took action against the boss of his douar who was none other than his cousin. He goes into hiding with six companions. He meshes this entire part of Algeria with a dense and dense network with the sole objective of taking action which will lead to the outbreak of the armed struggle on November 1, 1954.",2014-11-01,180,10.0,ar,0.668,"['Sami Allem', 'Mustafa Laribi', 'Ahmed Rezzak', 'Bahia Rachedi', 'Ahmed Benaissa', 'Dahmane Aidrous', 'Salem Ait Ali Belkacem', 'Imen Nouel', 'Razika Farhan', 'Hamza Iguer', 'Hamid Amirouche', 'Hakim Aoudjit', 'Chawki Bouzid', 'Menad Embarek', 'Ali Djebara', 'Slimane Ben Ouari', 'Kamel Rouini', 'Mabrouk Farroudji']","['Ahmed Rachedi', 'Ahmed Rachedi', 'Fakhreddine Amri', 'Claudio Chiossi', 'Ahmed Zerari', 'Amazit Boukhalfa', 'Hamid Aktouf', 'Youcef Rachedi', 'Farid Aouamer', 'Anne Vitaux']","Movie Name: Krim Belkacem 
 Movie Genre: ['History', 'Drama', 'War'] 
 Movie Overview: This film retraces the combat journey of Krim Belkacem, one of the leading figures of the Algerian War. When he left the Dellys barracks in October 1945, the day after the Second World War, Krim Belkacem was 23 years old. He is a man revolted by the May massacres in Sétif, Guelma, Kherrata and several other localities in the ravaged country. But it is also and above all a young Algerian who questions the future of Algeria. On March 21, 1947, Krim at the age of 25, he dug up his ""Sten"" submachine gun, he took action against the boss of his douar who was none other than his cousin. He goes into hiding with six companions. He meshes this entire part of Algeria with a dense and dense network with the sole objective of taking action which will lead to the outbreak of the armed struggle on November 1, 1954. 
 Movie Release Date: 2014-11-01 
 Movie Runtime: 180 
 Movie Review: 10.0 
 Movie Language: ar 
 Movie Popularity: 0.668 
 Cast: ['Sami Allem', 'Mustafa Laribi', 'Ahmed Rezzak', 'Bahia Rachedi', 'Ahmed Benaissa', 'Dahmane Aidrous', 'Salem Ait Ali Belkacem', 'Imen Nouel', 'Razika Farhan', 'Hamza Iguer', 'Hamid Amirouche', 'Hakim Aoudjit', 'Chawki Bouzid', 'Menad Embarek', 'Ali Djebara', 'Slimane Ben Ouari', 'Kamel Rouini', 'Mabrouk Farroudji'] 
 Crew: ['Ahmed Rachedi', 'Ahmed Rachedi', 'Fakhreddine Amri', 'Claudio Chiossi', 'Ahmed Zerari', 'Amazit Boukhalfa', 'Hamid Aktouf', 'Youcef Rachedi', 'Farid Aouamer', 'Anne Vitaux']"
