,title,genres,overview,release_date,runtime,review,language,popularity,cast,crew,content to embed
0,The Others,"['Horror', 'Mystery', 'Thriller']","Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",2001-08-02,101,7.611,en,47.283,"['Nicole Kidman', 'Christopher Eccleston', 'Alakina Mann', 'James Bentley', 'Fionnula Flanagan', 'Eric Sykes', 'Elaine Cassidy', 'Renée Asherson', 'Gordon Reid', 'Keith Allen', 'Michelle Fairley', 'Alexander Vince', 'Ricardo López', 'Aldo Grilo']","['Javier Aguirresarobe', 'Sonia Grande', 'Jina Jay', 'Tom Cruise', 'Bob Weinstein', 'Harvey Weinstein', 'Shaheen Baig', 'Benjamín Fernández', 'Benjamín Fernández', 'Benjamín Fernández', 'Paula Wagner', 'Elli Griff', 'Nacho Ruiz Capillas', 'Fernando Bovaira', 'Alejandro Amenábar', 'Alejandro Amenábar', 'Alejandro Amenábar', 'José Luis Cuerda', 'Emiliano Otegui', 'Emilio Ardura', 'Jonathan Sanger', 'Rick Schwartz', 'Lucio Godoy', 'Eduardo Chapero-Jackson', 'Sunmin Park', 'Miguel Ángel González', 'Maite Rivera Carbonell', 'Julien Naudin', 'Julio Madurga', 'Walter Leonardi', 'Ana López-Puigcerver', 'Úrsula García', 'Rafa Solórzano', 'James Seddon', 'Camilla Evans', 'Sandra Frieze', 'Miguel Pedregosa', 'Belén López-Puigcerver', 'Carmen Soriano', 'Peter Owen', 'Pedro Jesús De la Fuente', 'Félix Bergés', 'Kerry Warn', 'Eduardo Díaz', 'Ricardo Steinberg', 'Ana Cuerda', 'Julián Martín', 'Steve Ellis', 'John Bateman', 'Álex F. Capilla', 'Eva Muslera', 'Yolanda Cáceres', 'Carlos Santana', 'Geoff Foster', 'Enrique Bello', 'Marian Fernández Pascal', 'Arturo Aldegunde', 'Salvador Comes', 'José Luis González', 'Stanley B. Burns', 'Claudia Adriazola', 'Antonio Sánchez-Romo', 'Laura Muñoz-Rojas', 'Juan de Andrés', 'Maite Bermúdez', 'Carlos del Hoyo', 'Luis Pérez Dávila', 'Irene Ballesteros', 'Sonia Gonzalo', 'Javier Chinchilla', 'Carlos García', 'Brian Gibbs', 'Trilby Norton', 'Sergio Burmann', 'Guillaume Delamare', 'Isabel Díaz Cassou', 'Carmen Díaz', 'Derek Langley', 'José Antonio García Tapia', 'Garson Yu', 'Felisa Catalinas', 'Guillermo Escribano', 'Graham Aikman', 'Salvador Gómez Calle', 'María José Almela', 'Luis Casacuberta', 'Natalia Montes', 'Claudio Ianni', 'Javier de Oleza', 'Juan Luis Pedrero', 'Susan Ball', 'David Greenbaum', 'Daniel M. Villalba', 'Claire Amondaray', 'John Bailey']","Movie Name: The Others 
 Movie Genre: ['Horror', 'Mystery', 'Thriller'] 
 Movie Overview: Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions. 
 Movie Release Date: 2001-08-02 
 Movie Runtime: 101 
 Movie Review: 7.611 
 Movie Language: en 
 Movie Popularity: 47.283 
 Cast: ['Nicole Kidman', 'Christopher Eccleston', 'Alakina Mann', 'James Bentley', 'Fionnula Flanagan', 'Eric Sykes', 'Elaine Cassidy', 'Renée Asherson', 'Gordon Reid', 'Keith Allen', 'Michelle Fairley', 'Alexander Vince', 'Ricardo López', 'Aldo Grilo'] 
 Crew: ['Javier Aguirresarobe', 'Sonia Grande', 'Jina Jay', 'Tom Cruise', 'Bob Weinstein', 'Harvey Weinstein', 'Shaheen Baig', 'Benjamín Fernández', 'Benjamín Fernández', 'Benjamín Fernández', 'Paula Wagner', 'Elli Griff', 'Nacho Ruiz Capillas', 'Fernando Bovaira', 'Alejandro Amenábar', 'Alejandro Amenábar', 'Alejandro Amenábar', 'José Luis Cuerda', 'Emiliano Otegui', 'Emilio Ardura', 'Jonathan Sanger', 'Rick Schwartz', 'Lucio Godoy', 'Eduardo Chapero-Jackson', 'Sunmin Park', 'Miguel Ángel González', 'Maite Rivera Carbonell', 'Julien Naudin', 'Julio Madurga', 'Walter Leonardi', 'Ana López-Puigcerver', 'Úrsula García', 'Rafa Solórzano', 'James Seddon', 'Camilla Evans', 'Sandra Frieze', 'Miguel Pedregosa', 'Belén López-Puigcerver', 'Carmen Soriano', 'Peter Owen', 'Pedro Jesús De la Fuente', 'Félix Bergés', 'Kerry Warn', 'Eduardo Díaz', 'Ricardo Steinberg', 'Ana Cuerda', 'Julián Martín', 'Steve Ellis', 'John Bateman', 'Álex F. Capilla', 'Eva Muslera', 'Yolanda Cáceres', 'Carlos Santana', 'Geoff Foster', 'Enrique Bello', 'Marian Fernández Pascal', 'Arturo Aldegunde', 'Salvador Comes', 'José Luis González', 'Stanley B. Burns', 'Claudia Adriazola', 'Antonio Sánchez-Romo', 'Laura Muñoz-Rojas', 'Juan de Andrés', 'Maite Bermúdez', 'Carlos del Hoyo', 'Luis Pérez Dávila', 'Irene Ballesteros', 'Sonia Gonzalo', 'Javier Chinchilla', 'Carlos García', 'Brian Gibbs', 'Trilby Norton', 'Sergio Burmann', 'Guillaume Delamare', 'Isabel Díaz Cassou', 'Carmen Díaz', 'Derek Langley', 'José Antonio García Tapia', 'Garson Yu', 'Felisa Catalinas', 'Guillermo Escribano', 'Graham Aikman', 'Salvador Gómez Calle', 'María José Almela', 'Luis Casacuberta', 'Natalia Montes', 'Claudio Ianni', 'Javier de Oleza', 'Juan Luis Pedrero', 'Susan Ball', 'David Greenbaum', 'Daniel M. Villalba', 'Claire Amondaray', 'John Bailey']"
1,A Cor da Luz,[],,1986-01-01,0,0.0,pt,0.0,[],['Mario Kuperman'],"Movie Name: A Cor da Luz 
 Movie Genre: [] 
 Movie Overview:  
 Movie Release Date: 1986-01-01 
 Movie Runtime: 0 
 Movie Review: 0.0 
 Movie Language: pt 
 Movie Popularity: 0.0 
 Cast: [] 
 Crew: ['Mario Kuperman']"
2,Swades,"['Drama', 'Family']","A successful Indian scientist returns home to his village to take his nanny back to America with him, and in the process rediscovers his roots.",2004-12-17,195,7.2,hi,10.399,"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Balal', 'Smith Seth', 'Lekh Tandon', 'Rajesh Vivek', 'Daya Shankar Pandey', 'Farrukh Jaffar', 'Vishnudutt Gaur', 'Raja Awasthi', 'Vishwa S. Badola', 'Bhim Vakani', 'Rahul Vohra', 'Rajesh Balwani', 'Bachan Pachera', 'Shreyas Pandit', 'Peter Rawley', 'Makrand Deshpande']","['A. R. Rahman', 'Kimberly Mullen', 'Mark Mullen', 'Ronnie Screwvala', 'Ronnie Screwvala', 'Ashutosh Gowariker', 'Ashutosh Gowariker', 'Ashutosh Gowariker', 'Ashutosh Gowariker', 'Ashutosh Gowariker', 'Javed Akhtar', 'Abbas Ali Moghul', 'Cheragh Todiwala', 'Ayan Mukerji', 'Amin Hajee', 'Kiran Rao', 'Danish Aslam', 'Bhanu Athaiya', 'Lakshmipriya Devi', 'Ashraf Khan', 'Zarina Screwvala', 'Deven Khote', 'Lalit Marathe', 'Ballu Saluja', 'K.P. Saxena', 'Nitin Chandrakant Desai', 'Sameer Sharma', 'S. Sivakumar', 'Mahesh Aney', 'Charlotte Whitby-Coles', 'Yashodeep Nigudkar', 'M. G. Sathya', 'Caesar Gonsalves', 'Bosco Martis', 'Tarun Bhandari', 'Sunita Gowariker', 'H Sridhar', 'Stephen Gomes', 'Stephen Gomes', 'Hitendra Ghosh', 'Anadil Hossain', 'Ramesh Sadrani', 'Haroon Sheikh', 'Stuart Hall', 'Vinay Waikul', ""Royston D'Lima"", 'Sujeet Sawant', 'Rohit Prasad', 'Gulam Hassan Sheikh', 'Eknath Kadam', 'Pankaj Khandpur', 'Janani Ravichandran', 'C Ramesh', 'Griffin De Luce', 'Navin Gadkari', 'Aditya Modi', 'Girish Patil', 'Hemant Bhatkar', 'Mithali Mahajan', 'Pinky Poonawala', 'Rahul Kallankandy']","Movie Name: Swades 
 Movie Genre: ['Drama', 'Family'] 
 Movie Overview: A successful Indian scientist returns home to his village to take his nanny back to America with him, and in the process rediscovers his roots. 
 Movie Release Date: 2004-12-17 
 Movie Runtime: 195 
 Movie Review: 7.2 
 Movie Language: hi 
 Movie Popularity: 10.399 
 Cast: ['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Balal', 'Smith Seth', 'Lekh Tandon', 'Rajesh Vivek', 'Daya Shankar Pandey', 'Farrukh Jaffar', 'Vishnudutt Gaur', 'Raja Awasthi', 'Vishwa S. Badola', 'Bhim Vakani', 'Rahul Vohra', 'Rajesh Balwani', 'Bachan Pachera', 'Shreyas Pandit', 'Peter Rawley', 'Makrand Deshpande'] 
 Crew: ['A. R. Rahman', 'Kimberly Mullen', 'Mark Mullen', 'Ronnie Screwvala', 'Ronnie Screwvala', 'Ashutosh Gowariker', 'Ashutosh Gowariker', 'Ashutosh Gowariker', 'Ashutosh Gowariker', 'Ashutosh Gowariker', 'Javed Akhtar', 'Abbas Ali Moghul', 'Cheragh Todiwala', 'Ayan Mukerji', 'Amin Hajee', 'Kiran Rao', 'Danish Aslam', 'Bhanu Athaiya', 'Lakshmipriya Devi', 'Ashraf Khan', 'Zarina Screwvala', 'Deven Khote', 'Lalit Marathe', 'Ballu Saluja', 'K.P. Saxena', 'Nitin Chandrakant Desai', 'Sameer Sharma', 'S. Sivakumar', 'Mahesh Aney', 'Charlotte Whitby-Coles', 'Yashodeep Nigudkar', 'M. G. Sathya', 'Caesar Gonsalves', 'Bosco Martis', 'Tarun Bhandari', 'Sunita Gowariker', 'H Sridhar', 'Stephen Gomes', 'Stephen Gomes', 'Hitendra Ghosh', 'Anadil Hossain', 'Ramesh Sadrani', 'Haroon Sheikh', 'Stuart Hall', 'Vinay Waikul', ""Royston D'Lima"", 'Sujeet Sawant', 'Rohit Prasad', 'Gulam Hassan Sheikh', 'Eknath Kadam', 'Pankaj Khandpur', 'Janani Ravichandran', 'C Ramesh', 'Griffin De Luce', 'Navin Gadkari', 'Aditya Modi', 'Girish Patil', 'Hemant Bhatkar', 'Mithali Mahajan', 'Pinky Poonawala', 'Rahul Kallankandy']"
3,WWE Survivor Series WarGames 2023,[],"The 2023 Survivor Series is the upcoming 37th annual Survivor Series professional wrestling pay-per-view (PPV) and live streaming event produced by WWE. It will be held for wrestlers from the promotion's Raw and SmackDown brand divisions. The event will take place on Saturday, November 25, 2023, at the Allstate Arena in the Chicago suburb of Rosemont, Illinois, marking the third Survivor Series to be held at this arena after the 1989 and 2019 events. It is currently unknown if the event will retain the WarGames theme utilized for the 2022 event.",2023-11-25,0,0.0,en,3.467,[],[],"Movie Name: WWE Survivor Series WarGames 2023 
 Movie Genre: [] 
 Movie Overview: The 2023 Survivor Series is the upcoming 37th annual Survivor Series professional wrestling pay-per-view (PPV) and live streaming event produced by WWE. It will be held for wrestlers from the promotion's Raw and SmackDown brand divisions. The event will take place on Saturday, November 25, 2023, at the Allstate Arena in the Chicago suburb of Rosemont, Illinois, marking the third Survivor Series to be held at this arena after the 1989 and 2019 events. It is currently unknown if the event will retain the WarGames theme utilized for the 2022 event. 
 Movie Release Date: 2023-11-25 
 Movie Runtime: 0 
 Movie Review: 0.0 
 Movie Language: en 
 Movie Popularity: 3.467 
 Cast: [] 
 Crew: []"
4,Torn Curtain,"['Thriller', 'Mystery']","During the Cold War, an American scientist appears to defect to East Germany as part of a cloak and dagger mission to find the formula for a resin solution, but the plan goes awry when his fiancee, unaware of his motivation, follows him across the border.",1966-07-15,127,6.6,en,15.854,"['Paul Newman', 'Julie Andrews', 'Lila Kedrova', 'Hansjörg Felmy', 'Tamara Toumanova', 'Ludwig Donath', 'Wolfgang Kieling', 'Günter Strack', 'David Opatoshu', 'Gisela Fischer', 'Mort Mills', 'Carolyn Conwell', 'Arthur Gould-Porter', 'Gloria Govrin', 'Norbert Schiller', 'Leoda Richards', 'Frank Baker', 'Alfred Hitchcock', 'William Glover', 'Mischa Hausserman', 'Britt Semand', 'William Yetter Sr.', 'Kaaren Verne', 'Paul Sorensen', 'Hedley Mattingly', 'Curt Lowens', 'Horst Ebersberg', 'Dick Cherney', 'Wilhelm von Homburg', 'Albert Szabo', 'Robert Boon']","['Alfred Hitchcock', 'Alfred Hitchcock', 'Edith Head', 'George Milo', 'William Russell', 'Waldon O. Watson', 'John Addison', 'Leonard J. South', 'Brian Moore', 'John F. Warren', 'Bud Hoffman', 'David Sharpe', 'Willis Hall', 'Keith Waterhouse', 'Frank Arrigo', 'Hein Heckroth', 'Grady Hunt', 'Lois Thurman', 'Jack Corrick', 'Jack Barron', 'Lorraine Roberson', 'Donald Baer', 'Hal Saunders']","Movie Name: Torn Curtain 
 Movie Genre: ['Thriller', 'Mystery'] 
 Movie Overview: During the Cold War, an American scientist appears to defect to East Germany as part of a cloak and dagger mission to find the formula for a resin solution, but the plan goes awry when his fiancee, unaware of his motivation, follows him across the border. 
 Movie Release Date: 1966-07-15 
 Movie Runtime: 127 
 Movie Review: 6.6 
 Movie Language: en 
 Movie Popularity: 15.854 
 Cast: ['Paul Newman', 'Julie Andrews', 'Lila Kedrova', 'Hansjörg Felmy', 'Tamara Toumanova', 'Ludwig Donath', 'Wolfgang Kieling', 'Günter Strack', 'David Opatoshu', 'Gisela Fischer', 'Mort Mills', 'Carolyn Conwell', 'Arthur Gould-Porter', 'Gloria Govrin', 'Norbert Schiller', 'Leoda Richards', 'Frank Baker', 'Alfred Hitchcock', 'William Glover', 'Mischa Hausserman', 'Britt Semand', 'William Yetter Sr.', 'Kaaren Verne', 'Paul Sorensen', 'Hedley Mattingly', 'Curt Lowens', 'Horst Ebersberg', 'Dick Cherney', 'Wilhelm von Homburg', 'Albert Szabo', 'Robert Boon'] 
 Crew: ['Alfred Hitchcock', 'Alfred Hitchcock', 'Edith Head', 'George Milo', 'William Russell', 'Waldon O. Watson', 'John Addison', 'Leonard J. South', 'Brian Moore', 'John F. Warren', 'Bud Hoffman', 'David Sharpe', 'Willis Hall', 'Keith Waterhouse', 'Frank Arrigo', 'Hein Heckroth', 'Grady Hunt', 'Lois Thurman', 'Jack Corrick', 'Jack Barron', 'Lorraine Roberson', 'Donald Baer', 'Hal Saunders']"
5,Teen Daughter Next Door!,[],Teen Daughter Next Door!,2017-08-14,104,0.0,en,0.0,"['Anna Darling', 'Julia de Lucia', 'Lola Gatsby', 'Misha Cross', 'Tante White', 'Victoria Summers', 'Luke Hardy', 'Luke Hotrod', 'Max Deeds']",['Laws'],"Movie Name: Teen Daughter Next Door! 
 Movie Genre: [] 
 Movie Overview: Teen Daughter Next Door! 
 Movie Release Date: 2017-08-14 
 Movie Runtime: 104 
 Movie Review: 0.0 
 Movie Language: en 
 Movie Popularity: 0.0 
 Cast: ['Anna Darling', 'Julia de Lucia', 'Lola Gatsby', 'Misha Cross', 'Tante White', 'Victoria Summers', 'Luke Hardy', 'Luke Hotrod', 'Max Deeds'] 
 Crew: ['Laws']"
6,El Niño de Oro,[],,1925-11-05,27,0.0,es,0.0,"['Inocencia Alcubierre', 'José Arguelles', 'Francisco Cambil', 'Fernando Fresno', 'José María Granada']","['José Gaspar', 'José María Granada', 'José María Granada']","Movie Name: El Niño de Oro 
 Movie Genre: [] 
 Movie Overview:  
 Movie Release Date: 1925-11-05 
 Movie Runtime: 27 
 Movie Review: 0.0 
 Movie Language: es 
 Movie Popularity: 0.0 
 Cast: ['Inocencia Alcubierre', 'José Arguelles', 'Francisco Cambil', 'Fernando Fresno', 'José María Granada'] 
 Crew: ['José Gaspar', 'José María Granada', 'José María Granada']"
7,Keedaa Cola,"['Comedy', 'Crime']","Vaasthu, Lancham, and Thatha stumble upon a cockroach in a cola bottle and devise a plan to profit by filing a case in the consumer court. Simultaneously, Jeevan, an egocentric local thug with political aspirations, gains momentum as his brother, Naidu, is released from a 20-year prison sentence. The convergence of these two distinct worlds brings forth unexpected and hilarious consequences for everyone involved.",2023-11-02,120,0.0,te,12.679,"['Chaitanya Rao', 'Rag Mayur Chevuri', 'Brahmanandam', 'Tharun Bhascker', 'Jeevan Kumar', 'Vishnu Oi', 'Ravindra Vijay', 'Raghu Ram', 'Hari Kanth']","['Rana Daggubati', 'Bharath Kumar', 'Vivek Sagar', 'Tharun Bhascker', 'Tharun Bhascker', 'Tharun Bhascker', 'Vamsi Shekar', 'Anand Rajendran', 'Avinash Jagdish Shukla', 'Asish Teja Pulala', 'A.J. Aaron', 'N. Srinivas Kaushik', 'Upendra Varma', 'Upendra Varma', 'Adarsh Ravu', 'Sai Krishna  Gadwal', 'Vijay Kumar', 'Sripad Nandiraj', 'Vivek Sudhanshu']","Movie Name: Keedaa Cola 
 Movie Genre: ['Comedy', 'Crime'] 
 Movie Overview: Vaasthu, Lancham, and Thatha stumble upon a cockroach in a cola bottle and devise a plan to profit by filing a case in the consumer court. Simultaneously, Jeevan, an egocentric local thug with political aspirations, gains momentum as his brother, Naidu, is released from a 20-year prison sentence. The convergence of these two distinct worlds brings forth unexpected and hilarious consequences for everyone involved. 
 Movie Release Date: 2023-11-02 
 Movie Runtime: 120 
 Movie Review: 0.0 
 Movie Language: te 
 Movie Popularity: 12.679 
 Cast: ['Chaitanya Rao', 'Rag Mayur Chevuri', 'Brahmanandam', 'Tharun Bhascker', 'Jeevan Kumar', 'Vishnu Oi', 'Ravindra Vijay', 'Raghu Ram', 'Hari Kanth'] 
 Crew: ['Rana Daggubati', 'Bharath Kumar', 'Vivek Sagar', 'Tharun Bhascker', 'Tharun Bhascker', 'Tharun Bhascker', 'Vamsi Shekar', 'Anand Rajendran', 'Avinash Jagdish Shukla', 'Asish Teja Pulala', 'A.J. Aaron', 'N. Srinivas Kaushik', 'Upendra Varma', 'Upendra Varma', 'Adarsh Ravu', 'Sai Krishna  Gadwal', 'Vijay Kumar', 'Sripad Nandiraj', 'Vivek Sudhanshu']"
8,ReVamp: Live at Graspop 2010,['Music'],,2010-06-23,0,0.0,nl,0.0,['Floor Jansen'],[],"Movie Name: ReVamp: Live at Graspop 2010 
 Movie Genre: ['Music'] 
 Movie Overview:  
 Movie Release Date: 2010-06-23 
 Movie Runtime: 0 
 Movie Review: 0.0 
 Movie Language: nl 
 Movie Popularity: 0.0 
 Cast: ['Floor Jansen'] 
 Crew: []"
9,Terminator Salvation,"['Action', 'Science Fiction', 'Thriller']","All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",2009-05-20,115,6.0,en,47.155,"['Christian Bale', 'Sam Worthington', 'Moon Bloodgood', 'Helena Bonham Carter', 'Anton Yelchin', 'Common', 'Zach McGowan', 'Bryce Dallas Howard', 'Jane Alexander', 'Michael Ironside', ""Ivan G'Vera"", 'Dorian Nkono', 'Chris Browning', 'Beth Bailey', 'Victor J. Ho', 'Buster Reeves', 'Jadagrace', 'Kevin Wiggins', 'Greg Serano', 'Bruce McIntosh', 'Po Chan', 'Babak Tafti', 'Treva Etienne', 'Michael Papajohn', 'Dylan Kenin', 'Chris Ashworth', 'Diego Joaquin Lopez', 'Greg Plitt', 'Omar Paz Trujillo', 'Terry Crews', 'Isaac Kappy', 'Boots Southerland', 'David Midthunder', 'Rafael Herrera', 'Maria Bethke', 'Marc Maurin', 'Anjul Nigam', 'Emerson Brooks', 'Lorenzo Callender', 'David Douglas', 'Joe Basile', 'Esodie Geiger', 'Roland Kickinger', 'Brian Steele', 'Linda Hamilton', 'Luke Kearney', 'Aaron Mastriani', 'Frank Powers', 'Mark Rayner', 'Chris Bentley', 'Scott Flick', 'Neil Harbisson', 'Casey Wayne Hupp', 'Shani Klein-Madden', 'Cynthia Lee', 'Gregory Leiker', 'Paul J. Porter', 'Scott Wyman', 'Foued Zayani', 'John Gibbs']","['Danny Elfman', 'Bill Abbott', 'Mario Kassar', 'Conrad Buff IV', 'Ed French', 'John Brancato', 'Michael Ferris', 'Joel B. Michaels', 'Michael Wilkinson', 'Victor J. Zolfo', 'Bob Beher', 'Justine Arteta', 'Troy Sizemore', 'McG', 'Martin Laing', 'Chantal Feghali', 'Chantal Feghali', 'Patrick Loungway', 'Andy Potvin', 'Ron Bartlett', 'Roland N. Thai', 'Moritz Borman', 'Jeffrey Silver', 'Freddy Waff', 'Andrew G. Vajna', 'Kathrine Gordon', 'Shane Hurlbut', 'Stan Winston', 'Stan Winston', 'Adolfo Martínez Pérez', 'Steve Gaub', 'Dan Lin', 'Jeanne Allgood', 'Anjalika Mathur Nigam', 'Steven E. Gordon', 'Mark Hicks', 'Mark Hicks', 'Bruce Franklin', 'Bruce Franklin', 'Troy Porter', 'Rick Canelli', 'Dana Hee', 'Kimberly Greene', 'Barbara Harris', 'Rick Wentworth', 'Kim Davis-Wagner', 'Victor Kubicek', 'Peter D. Graves', 'John Roesch', 'David Lee Fein', 'Stephen P. Dunn', 'Michael Sexton', 'Robert Q. Mathews', 'Joy Zapata', 'Tom Hartig', 'Kathy McHugh', 'Trudy Ramirez', 'Michael J. Burmeister', 'Chris Moseley', 'Rolf John Keppler', 'Carol Kiefer', 'David V. Butler', 'Lee Gilmore', 'Ai-Ling Lee', 'Doug Hemphill', 'George Billinger III', 'Richard Foreman Jr.', 'Alyson Dee Moore', 'Greg John Callas', 'Jim Milton', 'Nadia Paine', 'Lee Anne Muldoon', 'Jason W. Jennings', 'Betty Lou Skinner', 'Christian Alzmann', 'Marc Chu', 'Cameron Frankley', 'Melissa Yonkey', 'Hugo Dominguez', 'Lisa Taylor Roberts', 'Deidre Parness', 'Mary Jo Lang', 'Don Zepfel', 'Don Zepfel', 'Ann Foley', 'Erin Wooldridge', 'Susan Greenhow', 'Freya Krasnow', 'Mark Ulano', 'Tom Struthers', 'April A. Janow', 'Cesar Angobaldo', 'William Ballard', 'Glenn Brown', 'Carole A. Kenneally', 'Lily García', 'Ben Snow', 'Jeff Okabayashi', 'Jason Oliver', 'Derek Anderson', ""Thomas J. O'Connell"", 'Zach Hunter', 'Jacquelyn Palmquist', 'Aimée Schaefer', 'John Walker', 'Cyndi Martin', 'Paul Byrne Prenderville', 'Charles Gibson', 'Denise Gallo', 'Bryan Snodgrass', 'Katie Pruitt', 'Christopher Trujillo']","Movie Name: Terminator Salvation 
 Movie Genre: ['Action', 'Science Fiction', 'Thriller'] 
 Movie Overview: All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe. 
 Movie Release Date: 2009-05-20 
 Movie Runtime: 115 
 Movie Review: 6.0 
 Movie Language: en 
 Movie Popularity: 47.155 
 Cast: ['Christian Bale', 'Sam Worthington', 'Moon Bloodgood', 'Helena Bonham Carter', 'Anton Yelchin', 'Common', 'Zach McGowan', 'Bryce Dallas Howard', 'Jane Alexander', 'Michael Ironside', ""Ivan G'Vera"", 'Dorian Nkono', 'Chris Browning', 'Beth Bailey', 'Victor J. Ho', 'Buster Reeves', 'Jadagrace', 'Kevin Wiggins', 'Greg Serano', 'Bruce McIntosh', 'Po Chan', 'Babak Tafti', 'Treva Etienne', 'Michael Papajohn', 'Dylan Kenin', 'Chris Ashworth', 'Diego Joaquin Lopez', 'Greg Plitt', 'Omar Paz Trujillo', 'Terry Crews', 'Isaac Kappy', 'Boots Southerland', 'David Midthunder', 'Rafael Herrera', 'Maria Bethke', 'Marc Maurin', 'Anjul Nigam', 'Emerson Brooks', 'Lorenzo Callender', 'David Douglas', 'Joe Basile', 'Esodie Geiger', 'Roland Kickinger', 'Brian Steele', 'Linda Hamilton', 'Luke Kearney', 'Aaron Mastriani', 'Frank Powers', 'Mark Rayner', 'Chris Bentley', 'Scott Flick', 'Neil Harbisson', 'Casey Wayne Hupp', 'Shani Klein-Madden', 'Cynthia Lee', 'Gregory Leiker', 'Paul J. Porter', 'Scott Wyman', 'Foued Zayani', 'John Gibbs'] 
 Crew: ['Danny Elfman', 'Bill Abbott', 'Mario Kassar', 'Conrad Buff IV', 'Ed French', 'John Brancato', 'Michael Ferris', 'Joel B. Michaels', 'Michael Wilkinson', 'Victor J. Zolfo', 'Bob Beher', 'Justine Arteta', 'Troy Sizemore', 'McG', 'Martin Laing', 'Chantal Feghali', 'Chantal Feghali', 'Patrick Loungway', 'Andy Potvin', 'Ron Bartlett', 'Roland N. Thai', 'Moritz Borman', 'Jeffrey Silver', 'Freddy Waff', 'Andrew G. Vajna', 'Kathrine Gordon', 'Shane Hurlbut', 'Stan Winston', 'Stan Winston', 'Adolfo Martínez Pérez', 'Steve Gaub', 'Dan Lin', 'Jeanne Allgood', 'Anjalika Mathur Nigam', 'Steven E. Gordon', 'Mark Hicks', 'Mark Hicks', 'Bruce Franklin', 'Bruce Franklin', 'Troy Porter', 'Rick Canelli', 'Dana Hee', 'Kimberly Greene', 'Barbara Harris', 'Rick Wentworth', 'Kim Davis-Wagner', 'Victor Kubicek', 'Peter D. Graves', 'John Roesch', 'David Lee Fein', 'Stephen P. Dunn', 'Michael Sexton', 'Robert Q. Mathews', 'Joy Zapata', 'Tom Hartig', 'Kathy McHugh', 'Trudy Ramirez', 'Michael J. Burmeister', 'Chris Moseley', 'Rolf John Keppler', 'Carol Kiefer', 'David V. Butler', 'Lee Gilmore', 'Ai-Ling Lee', 'Doug Hemphill', 'George Billinger III', 'Richard Foreman Jr.', 'Alyson Dee Moore', 'Greg John Callas', 'Jim Milton', 'Nadia Paine', 'Lee Anne Muldoon', 'Jason W. Jennings', 'Betty Lou Skinner', 'Christian Alzmann', 'Marc Chu', 'Cameron Frankley', 'Melissa Yonkey', 'Hugo Dominguez', 'Lisa Taylor Roberts', 'Deidre Parness', 'Mary Jo Lang', 'Don Zepfel', 'Don Zepfel', 'Ann Foley', 'Erin Wooldridge', 'Susan Greenhow', 'Freya Krasnow', 'Mark Ulano', 'Tom Struthers', 'April A. Janow', 'Cesar Angobaldo', 'William Ballard', 'Glenn Brown', 'Carole A. Kenneally', 'Lily García', 'Ben Snow', 'Jeff Okabayashi', 'Jason Oliver', 'Derek Anderson', ""Thomas J. O'Connell"", 'Zach Hunter', 'Jacquelyn Palmquist', 'Aimée Schaefer', 'John Walker', 'Cyndi Martin', 'Paul Byrne Prenderville', 'Charles Gibson', 'Denise Gallo', 'Bryan Snodgrass', 'Katie Pruitt', 'Christopher Trujillo']"
