,title,genres,overview,release_date,runtime,review,language,popularity,cast,crew,content to embed
0,Not in Textbooks 3,"['Comedy', 'Romance', 'Drama', 'Thriller']","The third work in the ""Not in Textbooks!"" series, which is a live-action movie of a popular love comedy manga by Kazuto Okada from ""Sundome"" starring Ayaka Morikawa from the former AKB48. It depicts the love pattern that the main character, a high school girl Aya Shirakaba and a homeroom teacher, Arihiko Tairaku, living together for a long time. One day, Okubo, a senior student who noticed Aya who is very popular in the school with excellent looks, abducts Aya. Tairaku heads to the rescue and falls into the worst situation. On the other hand, in the school there was an incident in which May Yayoi took the students hostage.... Morikawa played the role of Aya Shirakaba, Ryouma Baba played the role of Arihiko Tairaku, and May, an English teacher longing for Tairaku, was the debut performance of the rising gravure idol Anna Hongo.",2017-06-10,80,2.0,ja,1.399,"['Ayaka Morikawa', 'Ryoma Baba', 'Yurisa', 'Wataru Ichinose', 'Anna Hongo']","['Koji Hoshino', 'Kenichi Negishi', 'Kenichi Negishi', 'Kazuto Okada', 'Kazuto Okada', 'Takeshi Katayama', 'Kenji Komatsu', 'Shota Sasaki', 'Shota Sasaki', 'Tomonori Sasaki', 'Taichiro Natsume', 'Koji Kikuchi', 'Toshiaki Morihara']","Movie Name: Not in Textbooks 3 
 Movie Genre: ['Comedy', 'Romance', 'Drama', 'Thriller'] 
 Movie Overview: The third work in the ""Not in Textbooks!"" series, which is a live-action movie of a popular love comedy manga by Kazuto Okada from ""Sundome"" starring Ayaka Morikawa from the former AKB48. It depicts the love pattern that the main character, a high school girl Aya Shirakaba and a homeroom teacher, Arihiko Tairaku, living together for a long time. One day, Okubo, a senior student who noticed Aya who is very popular in the school with excellent looks, abducts Aya. Tairaku heads to the rescue and falls into the worst situation. On the other hand, in the school there was an incident in which May Yayoi took the students hostage.... Morikawa played the role of Aya Shirakaba, Ryouma Baba played the role of Arihiko Tairaku, and May, an English teacher longing for Tairaku, was the debut performance of the rising gravure idol Anna Hongo. 
 Movie Release Date: 2017-06-10 
 Movie Runtime: 80 
 Movie Review: 2.0 
 Movie Language: ja 
 Movie Popularity: 1.399 
 Cast: ['Ayaka Morikawa', 'Ryoma Baba', 'Yurisa', 'Wataru Ichinose', 'Anna Hongo'] 
 Crew: ['Koji Hoshino', 'Kenichi Negishi', 'Kenichi Negishi', 'Kazuto Okada', 'Kazuto Okada', 'Takeshi Katayama', 'Kenji Komatsu', 'Shota Sasaki', 'Shota Sasaki', 'Tomonori Sasaki', 'Taichiro Natsume', 'Koji Kikuchi', 'Toshiaki Morihara']"
1,Despair,['Drama'],"After a phone call ends in despair, a young woman faces a fatal decision.",2010-08-05,4,6.194,en,2.345,"['Bryce Dallas Howard', 'Alice Fox']","['Matthew Libatique', 'George Folsey Jr.', 'Brad Wilhite', 'Jeremy Dawson', 'Jeff Vespa', 'Alex Prager', 'Alex Prager', 'Ali Helnwein', 'Rachel North', 'Paul Fischer', 'Jonathan Segal']","Movie Name: Despair 
 Movie Genre: ['Drama'] 
 Movie Overview: After a phone call ends in despair, a young woman faces a fatal decision. 
 Movie Release Date: 2010-08-05 
 Movie Runtime: 4 
 Movie Review: 6.194 
 Movie Language: en 
 Movie Popularity: 2.345 
 Cast: ['Bryce Dallas Howard', 'Alice Fox'] 
 Crew: ['Matthew Libatique', 'George Folsey Jr.', 'Brad Wilhite', 'Jeremy Dawson', 'Jeff Vespa', 'Alex Prager', 'Alex Prager', 'Ali Helnwein', 'Rachel North', 'Paul Fischer', 'Jonathan Segal']"
2,Not in Textbooks 4,"['Comedy', 'Romance', 'Drama']","The fourth in a school romantic comedy that features a popular comic by Kazuto Okada starring Ayaka Morikawa and Ryouma Baba. One day, a love letter arrives under the Japanese language teacher, Tairaku Arihiko, at Otome High School. Around the same time, an incident occurred around the student, Aya Shirakaba, who was living with him...",2017-06-17,73,3.0,ja,1.4,"['Ayaka Morikawa', 'Ryoma Baba', 'Yurisa', 'Wataru Ichinose', 'Anna Hongo', 'Saki Yanase']","['Koji Hoshino', 'Kenichi Negishi', 'Kenichi Negishi', 'Kazuto Okada', 'Kazuto Okada', 'Takeshi Katayama', 'Kenji Komatsu', 'Shota Sasaki', 'Shota Sasaki', 'Tomonori Sasaki', 'Taichiro Natsume', 'Koji Kikuchi', 'Toshiaki Morihara']","Movie Name: Not in Textbooks 4 
 Movie Genre: ['Comedy', 'Romance', 'Drama'] 
 Movie Overview: The fourth in a school romantic comedy that features a popular comic by Kazuto Okada starring Ayaka Morikawa and Ryouma Baba. One day, a love letter arrives under the Japanese language teacher, Tairaku Arihiko, at Otome High School. Around the same time, an incident occurred around the student, Aya Shirakaba, who was living with him... 
 Movie Release Date: 2017-06-17 
 Movie Runtime: 73 
 Movie Review: 3.0 
 Movie Language: ja 
 Movie Popularity: 1.4 
 Cast: ['Ayaka Morikawa', 'Ryoma Baba', 'Yurisa', 'Wataru Ichinose', 'Anna Hongo', 'Saki Yanase'] 
 Crew: ['Koji Hoshino', 'Kenichi Negishi', 'Kenichi Negishi', 'Kazuto Okada', 'Kazuto Okada', 'Takeshi Katayama', 'Kenji Komatsu', 'Shota Sasaki', 'Shota Sasaki', 'Tomonori Sasaki', 'Taichiro Natsume', 'Koji Kikuchi', 'Toshiaki Morihara']"
3,The Mystery of Missing Socks,['Animation'],"Little Pille goes to find her father’s missing socks under the bed, to a fantastical world of forgotten things. There she finds that dad’s socks have laid an egg! Now Pille must protect the socks from danger until the tiny egg can hatch.",2023-11-01,20,0.0,et,3.842,[],"['Oskar Lehemaa', 'Rihards Zaļupe']","Movie Name: The Mystery of Missing Socks 
 Movie Genre: ['Animation'] 
 Movie Overview: Little Pille goes to find her father’s missing socks under the bed, to a fantastical world of forgotten things. There she finds that dad’s socks have laid an egg! Now Pille must protect the socks from danger until the tiny egg can hatch. 
 Movie Release Date: 2023-11-01 
 Movie Runtime: 20 
 Movie Review: 0.0 
 Movie Language: et 
 Movie Popularity: 3.842 
 Cast: [] 
 Crew: ['Oskar Lehemaa', 'Rihards Zaļupe']"
4,Amanda's Diary 2,[],"Amanda, in her first sexual awareness on her 18th birthday, continues seeing sex as something natural, without either taboos or limits. She is learning how not to inhibit her desires and experiment in all possibilities of this new-found world. She loves to record her sexual experiences on tape, and then play them back while she relaxes and watches her ""explosive passion"" from different angles. She fucks wherever she wants and with whoever she wants, so as to satiate her most intimate pleasures. Don't miss this new story presented by our young Amanda, guided by PRIVATE.",1999-02-01,89,0.0,en,0.0,"['Kate More', 'Monica Cameron', 'Ursula Moore', 'Nicol', 'Andrew Youngman', 'Bob Terminator', 'John Walton', 'Katy Parker', 'Nick Lang']","['John Millerman', 'John Millerman']","Movie Name: Amanda's Diary 2 
 Movie Genre: [] 
 Movie Overview: Amanda, in her first sexual awareness on her 18th birthday, continues seeing sex as something natural, without either taboos or limits. She is learning how not to inhibit her desires and experiment in all possibilities of this new-found world. She loves to record her sexual experiences on tape, and then play them back while she relaxes and watches her ""explosive passion"" from different angles. She fucks wherever she wants and with whoever she wants, so as to satiate her most intimate pleasures. Don't miss this new story presented by our young Amanda, guided by PRIVATE. 
 Movie Release Date: 1999-02-01 
 Movie Runtime: 89 
 Movie Review: 0.0 
 Movie Language: en 
 Movie Popularity: 0.0 
 Cast: ['Kate More', 'Monica Cameron', 'Ursula Moore', 'Nicol', 'Andrew Youngman', 'Bob Terminator', 'John Walton', 'Katy Parker', 'Nick Lang'] 
 Crew: ['John Millerman', 'John Millerman']"
5,Archibald's Syndrome,['Comedy'],"Archibald was born with a curious curse: he cannot make a gesture without everyone present imitating him. Now he's grown up and out of desperation he decides to rob a bank. On this occasion he meets Indiana, a young woman who always manages to avoid any form of control.",2020-08-20,20,0.0,fr,13.014,"['Tom Hudson', 'Jade Henot', 'Marik Renner', ""Henry Bastien d'Elie""]","['Anne Seibel', 'Laurent Barès', 'Hugo Lemant', 'Daniel Perez', 'Daniel Perez', 'Virgile van Ginneken', 'Claire Paillot']","Movie Name: Archibald's Syndrome 
 Movie Genre: ['Comedy'] 
 Movie Overview: Archibald was born with a curious curse: he cannot make a gesture without everyone present imitating him. Now he's grown up and out of desperation he decides to rob a bank. On this occasion he meets Indiana, a young woman who always manages to avoid any form of control. 
 Movie Release Date: 2020-08-20 
 Movie Runtime: 20 
 Movie Review: 0.0 
 Movie Language: fr 
 Movie Popularity: 13.014 
 Cast: ['Tom Hudson', 'Jade Henot', 'Marik Renner', ""Henry Bastien d'Elie""] 
 Crew: ['Anne Seibel', 'Laurent Barès', 'Hugo Lemant', 'Daniel Perez', 'Daniel Perez', 'Virgile van Ginneken', 'Claire Paillot']"
6,Not in Textbooks 5,"['Comedy', 'Romance', 'Drama']","A school romantic comedy about the cohabitation life of a popular high school girl in a class and a Japanese language teacher who is swayed by her in the fifth in the series ""Not in Textbooks!"". Aya Shirakaba, a high school girl who attends Otome High School, and homeroom teacher Arihiko Tairaku lived together at the command of the leader of Yakuza, the father of Aya. One weekend, Tairaku invites a longing colleague, Yayoi Satsuki, to date, which was also Aya's birthday. Aya learns that Tairaku is going to date May. Ayaka Morikawa, who plays Aya Shirakaba, and Ryouma Baba, who plays Arihiko Tairaku, continue to star in the series, while Moemi Katayama and Anna Hongo have played the role of May, who is now gravure idol Natsuki Sena.",2019-07-27,79,0.0,ja,1.991,"['Ayaka Morikawa', 'Ryoma Baba', 'Moemi Katayama', 'Yurisa', 'Wataru Ichinose', 'Sena Natsuki']","['Koji Hoshino', 'Kenichi Negishi', 'Kenichi Negishi', 'Kazuto Okada', 'Kazuto Okada', 'Takeshi Katayama', 'Kenji Komatsu', 'Shota Sasaki', 'Shota Sasaki', 'Tomonori Sasaki', 'Taichiro Natsume', 'Koji Kikuchi', 'Toshiaki Morihara']","Movie Name: Not in Textbooks 5 
 Movie Genre: ['Comedy', 'Romance', 'Drama'] 
 Movie Overview: A school romantic comedy about the cohabitation life of a popular high school girl in a class and a Japanese language teacher who is swayed by her in the fifth in the series ""Not in Textbooks!"". Aya Shirakaba, a high school girl who attends Otome High School, and homeroom teacher Arihiko Tairaku lived together at the command of the leader of Yakuza, the father of Aya. One weekend, Tairaku invites a longing colleague, Yayoi Satsuki, to date, which was also Aya's birthday. Aya learns that Tairaku is going to date May. Ayaka Morikawa, who plays Aya Shirakaba, and Ryouma Baba, who plays Arihiko Tairaku, continue to star in the series, while Moemi Katayama and Anna Hongo have played the role of May, who is now gravure idol Natsuki Sena. 
 Movie Release Date: 2019-07-27 
 Movie Runtime: 79 
 Movie Review: 0.0 
 Movie Language: ja 
 Movie Popularity: 1.991 
 Cast: ['Ayaka Morikawa', 'Ryoma Baba', 'Moemi Katayama', 'Yurisa', 'Wataru Ichinose', 'Sena Natsuki'] 
 Crew: ['Koji Hoshino', 'Kenichi Negishi', 'Kenichi Negishi', 'Kazuto Okada', 'Kazuto Okada', 'Takeshi Katayama', 'Kenji Komatsu', 'Shota Sasaki', 'Shota Sasaki', 'Tomonori Sasaki', 'Taichiro Natsume', 'Koji Kikuchi', 'Toshiaki Morihara']"
7,High Crime,"['Crime', 'Thriller']","An Italian police inspector matches wits with a powerful European drug ring. As he comes closer to the top of the underworld organization, his odds of survival decrease.",1973-08-12,103,6.1,it,3.388,"['Franco Nero', 'James Whitmore', 'Fernando Rey', 'Stefania Girolami Goodwin', 'Duilio Del Prete', 'Silvano Tranquilli', 'Ely Galleani', 'Daniel Martín', 'Delia Boccardo', 'Paul Costello', 'Luigi Diberti', 'Mario Erpichini', 'Zoe Incrocci', 'Bruno Corazzari', 'Massimo Vanni', 'Víctor Israel', 'Joaquín Solís', 'Edy Biagetti', 'Paolo Giusti', 'Enzo G. Castellari', 'Mickey Knox', 'Walter Patriarca', 'Nello Pazzafini', 'Giovanni Cianfriglia', 'Riccardo Petrazzi', 'Benito Pacifico', 'Leonardo Scavino', 'Natasha Richardson', 'Sergio Soldano', 'Lorenzo Piani', 'Carla Mancini']","['Guido De Angelis', 'Maurizio De Angelis', 'Gene Luotto', 'Enzo G. Castellari', 'Enzo G. Castellari', 'Gianfranco Amicucci', 'Vincenzo Tomassi', 'Gianfranco Clerici', 'Vincenzo Mannino', 'Maurizio Amati', 'Maurizio Amati', 'Tito Carpi', 'Tito Carpi', 'Alejandro Ulloa', 'Leonardo Martín', 'Emilio Ruiz del Río', 'Pietro Tomassi']","Movie Name: High Crime 
 Movie Genre: ['Crime', 'Thriller'] 
 Movie Overview: An Italian police inspector matches wits with a powerful European drug ring. As he comes closer to the top of the underworld organization, his odds of survival decrease. 
 Movie Release Date: 1973-08-12 
 Movie Runtime: 103 
 Movie Review: 6.1 
 Movie Language: it 
 Movie Popularity: 3.388 
 Cast: ['Franco Nero', 'James Whitmore', 'Fernando Rey', 'Stefania Girolami Goodwin', 'Duilio Del Prete', 'Silvano Tranquilli', 'Ely Galleani', 'Daniel Martín', 'Delia Boccardo', 'Paul Costello', 'Luigi Diberti', 'Mario Erpichini', 'Zoe Incrocci', 'Bruno Corazzari', 'Massimo Vanni', 'Víctor Israel', 'Joaquín Solís', 'Edy Biagetti', 'Paolo Giusti', 'Enzo G. Castellari', 'Mickey Knox', 'Walter Patriarca', 'Nello Pazzafini', 'Giovanni Cianfriglia', 'Riccardo Petrazzi', 'Benito Pacifico', 'Leonardo Scavino', 'Natasha Richardson', 'Sergio Soldano', 'Lorenzo Piani', 'Carla Mancini'] 
 Crew: ['Guido De Angelis', 'Maurizio De Angelis', 'Gene Luotto', 'Enzo G. Castellari', 'Enzo G. Castellari', 'Gianfranco Amicucci', 'Vincenzo Tomassi', 'Gianfranco Clerici', 'Vincenzo Mannino', 'Maurizio Amati', 'Maurizio Amati', 'Tito Carpi', 'Tito Carpi', 'Alejandro Ulloa', 'Leonardo Martín', 'Emilio Ruiz del Río', 'Pietro Tomassi']"
8,Not in Textbooks 6,"['Romance', 'Comedy']","Based on a popular comic by Kazuto Okada, this is the sixth episode of the series, which is the final story of the school romantic comedy ""Not in Textbooks!"" that depicts the cohabitation life of a cute and popular high school girl and a Japanese language teacher swayed by her. Aya Shirakaba became a third-year student at Otome High School, and now it's only one year before graduating. It's been another year since she lived with her homeroom teacher, Arihiko Tairaku, but at that time, a story about a marriage with May was brought up in Tairaku. On the other hand, Aya's father, who wanted to separate her daughter who is too close to Tairaku from him, tells Aya about studying abroad. Aya listens to her father and decides to study abroad. Ayaka Morikawa and Ryouma Baba, who have starred in the whole series, play Aya and Tairaku respectively, and Sena Natsuki, a gravure idol, plays the role of May who is in a triangular relationship with the two.",2019-07-28,92,0.0,ja,0.86,"['Ayaka Morikawa', 'Ryoma Baba', 'Sena Natsuki', 'Yurisa', 'Wataru Ichinose', 'Tomoya Ishii', 'Misaki Soejima', 'Rika Mari', 'Syo Jinnai']","['Shota Sasaki', 'Takayuki Imara']","Movie Name: Not in Textbooks 6 
 Movie Genre: ['Romance', 'Comedy'] 
 Movie Overview: Based on a popular comic by Kazuto Okada, this is the sixth episode of the series, which is the final story of the school romantic comedy ""Not in Textbooks!"" that depicts the cohabitation life of a cute and popular high school girl and a Japanese language teacher swayed by her. Aya Shirakaba became a third-year student at Otome High School, and now it's only one year before graduating. It's been another year since she lived with her homeroom teacher, Arihiko Tairaku, but at that time, a story about a marriage with May was brought up in Tairaku. On the other hand, Aya's father, who wanted to separate her daughter who is too close to Tairaku from him, tells Aya about studying abroad. Aya listens to her father and decides to study abroad. Ayaka Morikawa and Ryouma Baba, who have starred in the whole series, play Aya and Tairaku respectively, and Sena Natsuki, a gravure idol, plays the role of May who is in a triangular relationship with the two. 
 Movie Release Date: 2019-07-28 
 Movie Runtime: 92 
 Movie Review: 0.0 
 Movie Language: ja 
 Movie Popularity: 0.86 
 Cast: ['Ayaka Morikawa', 'Ryoma Baba', 'Sena Natsuki', 'Yurisa', 'Wataru Ichinose', 'Tomoya Ishii', 'Misaki Soejima', 'Rika Mari', 'Syo Jinnai'] 
 Crew: ['Shota Sasaki', 'Takayuki Imara']"
9,A Family Portrait,['Animation'],"A family portrait session goes horribly wrong, as secrets and jealousy bubble to the surface under the photographer's watchful gaze.",2009-06-15,5,6.0,en,0.84,"['Robert Bathurst', 'Sarah McVicar', 'Danica Moore', 'Mitchell Turner']","['Liam Iandoli', 'Joseph Pierce', 'Joseph Pierce']","Movie Name: A Family Portrait 
 Movie Genre: ['Animation'] 
 Movie Overview: A family portrait session goes horribly wrong, as secrets and jealousy bubble to the surface under the photographer's watchful gaze. 
 Movie Release Date: 2009-06-15 
 Movie Runtime: 5 
 Movie Review: 6.0 
 Movie Language: en 
 Movie Popularity: 0.84 
 Cast: ['Robert Bathurst', 'Sarah McVicar', 'Danica Moore', 'Mitchell Turner'] 
 Crew: ['Liam Iandoli', 'Joseph Pierce', 'Joseph Pierce']"
