,title,genres,overview,release_date,runtime,review,language,popularity,cast,crew,content to embed
0,"Let's Eat Together, Aki and Haru","['Comedy', 'Romance']","A heartwarming story between roommates Aki and Haru, two college students who have different personalities and worries but share a love for food.",2023-06-02,90,0.0,ja,1.897,"['Ryotaro Akazawa', 'Kensuke Takahashi', 'Ryuga Akahane', 'Sakurai Yuki']",['Kôji Kawano'],"Movie Genre: ['Comedy', 'Romance'] 
 Movie Overview: A heartwarming story between roommates Aki and Haru, two college students who have different personalities and worries but share a love for food. 
 Movie Release Date: 2023-06-02 
 Movie Runtime: 90 
 Movie Review: 0.0 
 Movie Language: ja 
 Movie Popularity: 1.897 
 Cast: ['Ryotaro Akazawa', 'Kensuke Takahashi', 'Ryuga Akahane', 'Sakurai Yuki'] 
 Crew: ['Kôji Kawano']"
1,Daddyku Gangster,"['Action', 'Comedy', 'Crime']","Ray is the head of a gang that steals luxury cars, and is involved in an underground fight club. He does not have a good relationship with his family, but when his brother Remy and Remy`s wife pass away in a tragic accident, Ray is shocked that his brother had made his intentions known in the will and had chosen Ray to be the guardian of his two children - Arisha dan Aidil.",2022-12-01,108,0.0,ms,2.906,"['Zul Huzaimy', 'Faizal Hussein', 'Ridzuan Hashim', 'Vanida Imran', 'Alieff Irfan', 'Azri Iskandar', 'Jay Iswazir', 'Angelica Petra', 'Arryyan Petra', 'Reen Rahim', 'Azhan Rani', 'Zalif Sidek', 'Adeline Tsen', 'Wan Wala']","['Ismail Bob Hasim', 'Epy Kodiang', 'Azaromi Ghozali', 'Areel Abu Bakar', 'Ismar Amiesyha', 'Rosmarayu Mokhtar', 'Reza Ramsey', 'Mohd Suzana Rosly', 'Adzhan Mohmad', 'Tarmizi Ramli']","Movie Genre: ['Action', 'Comedy', 'Crime'] 
 Movie Overview: Ray is the head of a gang that steals luxury cars, and is involved in an underground fight club. He does not have a good relationship with his family, but when his brother Remy and Remy`s wife pass away in a tragic accident, Ray is shocked that his brother had made his intentions known in the will and had chosen Ray to be the guardian of his two children - Arisha dan Aidil. 
 Movie Release Date: 2022-12-01 
 Movie Runtime: 108 
 Movie Review: 0.0 
 Movie Language: ms 
 Movie Popularity: 2.906 
 Cast: ['Zul Huzaimy', 'Faizal Hussein', 'Ridzuan Hashim', 'Vanida Imran', 'Alieff Irfan', 'Azri Iskandar', 'Jay Iswazir', 'Angelica Petra', 'Arryyan Petra', 'Reen Rahim', 'Azhan Rani', 'Zalif Sidek', 'Adeline Tsen', 'Wan Wala'] 
 Crew: ['Ismail Bob Hasim', 'Epy Kodiang', 'Azaromi Ghozali', 'Areel Abu Bakar', 'Ismar Amiesyha', 'Rosmarayu Mokhtar', 'Reza Ramsey', 'Mohd Suzana Rosly', 'Adzhan Mohmad', 'Tarmizi Ramli']"
2,Untitled Nalan - Karthi movie,['Drama'],,,0,0.0,ta,0.6,"['Karthi', 'Krithi Shetty', 'Sathyaraj', 'G. M. Sundar', 'Rajkiran']","['Santhosh Narayanan', 'K. E. Gnanavelraja', 'Nalan Kumarasamy', 'Nalan Kumarasamy']","Movie Genre: ['Drama'] 
 Movie Overview:  
 Movie Release Date:  
 Movie Runtime: 0 
 Movie Review: 0.0 
 Movie Language: ta 
 Movie Popularity: 0.6 
 Cast: ['Karthi', 'Krithi Shetty', 'Sathyaraj', 'G. M. Sundar', 'Rajkiran'] 
 Crew: ['Santhosh Narayanan', 'K. E. Gnanavelraja', 'Nalan Kumarasamy', 'Nalan Kumarasamy']"
3,"The Beloved Child, or I Play at Being a Married Woman",['Documentary'],"A young mother, alone with her daughter, confides in a friend who happens to be the director herself. Chantal Akerman, although she sympathizes with the mother, does not say a word.",1971-01-01,35,5.8,fr,2.261,"['Claire Wauthion', 'Chantal Akerman', 'Daphné Merzer']","['Chantal Akerman', 'Chantal Akerman']","Movie Genre: ['Documentary'] 
 Movie Overview: A young mother, alone with her daughter, confides in a friend who happens to be the director herself. Chantal Akerman, although she sympathizes with the mother, does not say a word. 
 Movie Release Date: 1971-01-01 
 Movie Runtime: 35 
 Movie Review: 5.8 
 Movie Language: fr 
 Movie Popularity: 2.261 
 Cast: ['Claire Wauthion', 'Chantal Akerman', 'Daphné Merzer'] 
 Crew: ['Chantal Akerman', 'Chantal Akerman']"
4,Kamen Rider Saber: Trio of Deep Sin,"['Action', 'Adventure', 'Science Fiction', 'Drama']","Eight years after the battle for the Book of Omniscience, the peaceful lives of Touma, Rintaro, Mei and Kento are troubled by a mysterious new Falchion who can seemingly erase people from existence altogether!",2022-01-28,72,4.7,ja,1.654,"['Shuichiro Naito', 'Takaya Yamaguchi', 'Ryou Aoki', 'Asuka Kawazu', 'Yuki Ikushima', 'Eiji Togashi', 'Hiroaki Oka', 'Tomohiro Ichikawa', 'Angela Mei', 'Ken Shonozaki', 'Rina Chinen', 'Ryô Kimura', 'Rin Asuka', 'Satoshi Hashimoto', 'Minegishi Kiara', 'Hitomi Hasebe']","['Takuro Fukuda', 'Kazuya Kamihoriuchi', 'Shokichi Kaneda']","Movie Genre: ['Action', 'Adventure', 'Science Fiction', 'Drama'] 
 Movie Overview: Eight years after the battle for the Book of Omniscience, the peaceful lives of Touma, Rintaro, Mei and Kento are troubled by a mysterious new Falchion who can seemingly erase people from existence altogether! 
 Movie Release Date: 2022-01-28 
 Movie Runtime: 72 
 Movie Review: 4.7 
 Movie Language: ja 
 Movie Popularity: 1.654 
 Cast: ['Shuichiro Naito', 'Takaya Yamaguchi', 'Ryou Aoki', 'Asuka Kawazu', 'Yuki Ikushima', 'Eiji Togashi', 'Hiroaki Oka', 'Tomohiro Ichikawa', 'Angela Mei', 'Ken Shonozaki', 'Rina Chinen', 'Ryô Kimura', 'Rin Asuka', 'Satoshi Hashimoto', 'Minegishi Kiara', 'Hitomi Hasebe'] 
 Crew: ['Takuro Fukuda', 'Kazuya Kamihoriuchi', 'Shokichi Kaneda']"
5,Overlord: The Undead King,"['Animation', 'Action', 'Adventure', 'Fantasy']","The first recap film of season 1 of the anime TV series Overlord, covering episodes 1 to 7. In the year 2138,  the popular online VR game Yggdrasil is quietly shut down one day. However, the player Momonga decides to not log out and is transformed into a powerful skeletal wizard upon shutdown. The game world continues to change, with non-player characters beginning to feel emotions. Confronted with this abnormal situation, Momonga and his loyal followers strive to investigate and take over the new world the game has become.",2017-02-25,103,7.0,ja,15.599,"['Satoshi Hino', 'Yumi Hara', 'Sumire Uesaka', 'Emiri Kato', 'Yumi Uchiyama', 'Masayuki Katou', 'Kenta Miyake', 'Asami Seto', 'Aoi Yuki', 'Kei Shindo', 'Akeno Watanabe', 'Minoru Inaba', 'Mikako Komatsu', 'Manami Numakura', 'Ayumu Murase', 'Shigeru Chiba', 'Ayane Sakura', 'Hiromi Igarashi', 'Hironori Saitoh', 'Satsuki Yukino', 'Ryota Takeuchi', 'Mao Ichimichi', 'Yuji Kameyama', 'Hiroshi Shirokuma', 'Junji Majima', 'Yoshihito Sasaki', 'Natsuki Hanae', 'Marika Kouno', 'Takehito Koyasu', 'Mutsumi Tamura', 'Kazuyuki Okitsu', 'Kanehira Yamamoto', 'Nobuaki Kanemitsu', 'Toru Sakurai', 'Ryotaro Okiayu', 'Yuu Ayase']","['Shigemi Ikeda', 'Takahiro Yoshimatsu', 'Naoyuki Ito', 'Kashiko Kimura', 'Yukiko Maruyama', 'Kugane Maruyama', 'Yukie Sugawara', 'Shuji Katayama', 'Fumiyuki Goh', 'Shuhei Yabuta', 'Yuki Kawashita', 'Yukie Noguchi', 'Shuichi Okubo', 'Kayoko Tomono']","Movie Genre: ['Animation', 'Action', 'Adventure', 'Fantasy'] 
 Movie Overview: The first recap film of season 1 of the anime TV series Overlord, covering episodes 1 to 7. In the year 2138,  the popular online VR game Yggdrasil is quietly shut down one day. However, the player Momonga decides to not log out and is transformed into a powerful skeletal wizard upon shutdown. The game world continues to change, with non-player characters beginning to feel emotions. Confronted with this abnormal situation, Momonga and his loyal followers strive to investigate and take over the new world the game has become. 
 Movie Release Date: 2017-02-25 
 Movie Runtime: 103 
 Movie Review: 7.0 
 Movie Language: ja 
 Movie Popularity: 15.599 
 Cast: ['Satoshi Hino', 'Yumi Hara', 'Sumire Uesaka', 'Emiri Kato', 'Yumi Uchiyama', 'Masayuki Katou', 'Kenta Miyake', 'Asami Seto', 'Aoi Yuki', 'Kei Shindo', 'Akeno Watanabe', 'Minoru Inaba', 'Mikako Komatsu', 'Manami Numakura', 'Ayumu Murase', 'Shigeru Chiba', 'Ayane Sakura', 'Hiromi Igarashi', 'Hironori Saitoh', 'Satsuki Yukino', 'Ryota Takeuchi', 'Mao Ichimichi', 'Yuji Kameyama', 'Hiroshi Shirokuma', 'Junji Majima', 'Yoshihito Sasaki', 'Natsuki Hanae', 'Marika Kouno', 'Takehito Koyasu', 'Mutsumi Tamura', 'Kazuyuki Okitsu', 'Kanehira Yamamoto', 'Nobuaki Kanemitsu', 'Toru Sakurai', 'Ryotaro Okiayu', 'Yuu Ayase'] 
 Crew: ['Shigemi Ikeda', 'Takahiro Yoshimatsu', 'Naoyuki Ito', 'Kashiko Kimura', 'Yukiko Maruyama', 'Kugane Maruyama', 'Yukie Sugawara', 'Shuji Katayama', 'Fumiyuki Goh', 'Shuhei Yabuta', 'Yuki Kawashita', 'Yukie Noguchi', 'Shuichi Okubo', 'Kayoko Tomono']"
6,King Kong,"['Adventure', 'Fantasy']",An oil company expedition disturbs the peace of a giant ape and brings him back to New York to exploit him.,1976-09-08,134,6.199,en,24.626,"['Jeff Bridges', 'Jessica Lange', 'Charles Grodin', 'John Randolph', 'René Auberjonois', 'Julius Harris', ""Jack O'Halloran"", 'Ed Lauter', 'John Agar', 'Jorge Moreno', 'Mario Gallo', 'John Lone', 'Garry Walberg', 'Keny Long', 'Sid Conrad', 'George S. Whiteman', 'Wayne Heffley', 'Todd Baker', 'Corbin Bernsen', 'Ray Buktenica', 'Larry M. Byrd', 'Peter Cullen', 'S.C. Dacy', 'James Dunaway', 'Ned Gill', 'Donald F. Glut', 'Walt Gorney', 'Shawn McAllister', 'Eve McVeagh', 'Larry Naschel', 'Ira S. Rosenstein', 'David Roya', 'David Ulmer', 'Kristephan Warren-Stevens', 'Brent Huff', 'Rick Baker', 'Dennis Fimple']","['Jack Solomon', 'Richard H. Kline', 'John Barry', 'Merian C. Cooper', 'James Ashmore Creelman', 'Ruth Rose', 'Edgar Wallace', 'Dino De Laurentiis', 'John Guillermin', 'Ralph E. Winters', 'Anthea Sylbert', 'Rick Baker', 'John Franco Jr.', 'Moss Mabry', 'Dale Hennesy', 'Harry W. Tetrick', 'Gene LeBell', 'Mario Chiari', 'Lorenzo Semple Jr.', 'Joyce Selznick', 'Christian Ferry', 'Federico De Laurentiis', 'Rob Bottin', 'Kelly Nichols', 'Diane Peterson', 'Bill Couch', 'Roger Creed', 'Ted White', 'Terry Carr', 'Julius LeFlore', 'Melvin Jones', 'Loren Janes', 'Phil Tucker', 'Ray Saniger', 'Brian E. Frankish', 'Jim Lovelett', 'Robert Gundlach', 'Doris Grau', 'David A. Constable', 'William L. McCaughey', 'Elliott Marks', 'Jesse Wayne', 'Archie J. Bacon', 'George Goodman', 'Lori Imbler', 'Sunny Woods', 'Bobby Greene', 'Ernest Robinson', 'Joe Pronto', 'Beth Nufer', 'Glen Robinson']","Movie Genre: ['Adventure', 'Fantasy'] 
 Movie Overview: An oil company expedition disturbs the peace of a giant ape and brings him back to New York to exploit him. 
 Movie Release Date: 1976-09-08 
 Movie Runtime: 134 
 Movie Review: 6.199 
 Movie Language: en 
 Movie Popularity: 24.626 
 Cast: ['Jeff Bridges', 'Jessica Lange', 'Charles Grodin', 'John Randolph', 'René Auberjonois', 'Julius Harris', ""Jack O'Halloran"", 'Ed Lauter', 'John Agar', 'Jorge Moreno', 'Mario Gallo', 'John Lone', 'Garry Walberg', 'Keny Long', 'Sid Conrad', 'George S. Whiteman', 'Wayne Heffley', 'Todd Baker', 'Corbin Bernsen', 'Ray Buktenica', 'Larry M. Byrd', 'Peter Cullen', 'S.C. Dacy', 'James Dunaway', 'Ned Gill', 'Donald F. Glut', 'Walt Gorney', 'Shawn McAllister', 'Eve McVeagh', 'Larry Naschel', 'Ira S. Rosenstein', 'David Roya', 'David Ulmer', 'Kristephan Warren-Stevens', 'Brent Huff', 'Rick Baker', 'Dennis Fimple'] 
 Crew: ['Jack Solomon', 'Richard H. Kline', 'John Barry', 'Merian C. Cooper', 'James Ashmore Creelman', 'Ruth Rose', 'Edgar Wallace', 'Dino De Laurentiis', 'John Guillermin', 'Ralph E. Winters', 'Anthea Sylbert', 'Rick Baker', 'John Franco Jr.', 'Moss Mabry', 'Dale Hennesy', 'Harry W. Tetrick', 'Gene LeBell', 'Mario Chiari', 'Lorenzo Semple Jr.', 'Joyce Selznick', 'Christian Ferry', 'Federico De Laurentiis', 'Rob Bottin', 'Kelly Nichols', 'Diane Peterson', 'Bill Couch', 'Roger Creed', 'Ted White', 'Terry Carr', 'Julius LeFlore', 'Melvin Jones', 'Loren Janes', 'Phil Tucker', 'Ray Saniger', 'Brian E. Frankish', 'Jim Lovelett', 'Robert Gundlach', 'Doris Grau', 'David A. Constable', 'William L. McCaughey', 'Elliott Marks', 'Jesse Wayne', 'Archie J. Bacon', 'George Goodman', 'Lori Imbler', 'Sunny Woods', 'Bobby Greene', 'Ernest Robinson', 'Joe Pronto', 'Beth Nufer', 'Glen Robinson']"
7,Overlord: The Dark Hero,"['Animation', 'Action', 'Adventure', 'Fantasy']","The second recap film of season 1 of the anime TV series Overlord, covering episodes 8 to 13.",2017-03-11,94,6.4,ja,11.513,"['Satoshi Hino', 'Yumi Hara', 'Sumire Uesaka', 'Emiri Kato', 'Yumi Uchiyama', 'Masayuki Katou', 'Kenta Miyake', 'Asami Seto', 'Aoi Yuki', 'Kei Shindo', 'Akeno Watanabe', 'Minoru Inaba', 'Mikako Komatsu', 'Manami Numakura', 'Ayumu Murase', 'Shigeru Chiba', 'Ayane Sakura', 'Koji Yusa', 'Satsuki Yukino', 'Yuko Goto', 'Ryota Takeuchi', 'Toru Sakurai', 'Ikuko Tani', 'Natsuki Hanae', 'Mutsumi Tamura', 'Mamoru Miyano', 'Shinnosuke Tachibana', 'Kazuyuki Okitsu', 'Kanehira Yamamoto', 'Kentaro Tone', 'Hiromi Igarashi']","['Shigemi Ikeda', 'Takahiro Yoshimatsu', 'Naoyuki Ito', 'Kashiko Kimura', 'Yukiko Maruyama', 'Kugane Maruyama', 'Yukie Sugawara', 'Shuji Katayama', 'Fumiyuki Goh', 'Shuhei Yabuta', 'Yuki Kawashita', 'Yukie Noguchi', 'Shuichi Okubo', 'Kayoko Tomono']","Movie Genre: ['Animation', 'Action', 'Adventure', 'Fantasy'] 
 Movie Overview: The second recap film of season 1 of the anime TV series Overlord, covering episodes 8 to 13. 
 Movie Release Date: 2017-03-11 
 Movie Runtime: 94 
 Movie Review: 6.4 
 Movie Language: ja 
 Movie Popularity: 11.513 
 Cast: ['Satoshi Hino', 'Yumi Hara', 'Sumire Uesaka', 'Emiri Kato', 'Yumi Uchiyama', 'Masayuki Katou', 'Kenta Miyake', 'Asami Seto', 'Aoi Yuki', 'Kei Shindo', 'Akeno Watanabe', 'Minoru Inaba', 'Mikako Komatsu', 'Manami Numakura', 'Ayumu Murase', 'Shigeru Chiba', 'Ayane Sakura', 'Koji Yusa', 'Satsuki Yukino', 'Yuko Goto', 'Ryota Takeuchi', 'Toru Sakurai', 'Ikuko Tani', 'Natsuki Hanae', 'Mutsumi Tamura', 'Mamoru Miyano', 'Shinnosuke Tachibana', 'Kazuyuki Okitsu', 'Kanehira Yamamoto', 'Kentaro Tone', 'Hiromi Igarashi'] 
 Crew: ['Shigemi Ikeda', 'Takahiro Yoshimatsu', 'Naoyuki Ito', 'Kashiko Kimura', 'Yukiko Maruyama', 'Kugane Maruyama', 'Yukie Sugawara', 'Shuji Katayama', 'Fumiyuki Goh', 'Shuhei Yabuta', 'Yuki Kawashita', 'Yukie Noguchi', 'Shuichi Okubo', 'Kayoko Tomono']"
8,The Day of the Owl,"['Drama', 'Crime']","Set in Sicily, this violent crime drama tells the tale of an Italian cop who heads to a small island town to look into the death of a construction supplier. Once there he is shocked by the influence the Mafia has over the people and even himself.",1968-02-17,108,7.0,it,8.079,"['Franco Nero', 'Claudia Cardinale', 'Lee J. Cobb', 'Tano Cimarosa', 'Nehemiah Persoff', 'Serge Reggiani', 'Ennio Balbo', ""Ugo D'Alessio"", 'Fred Coplan', 'Giovanni Pallavicino', 'Laura De Marchi', 'Brizio Montinaro', 'Lino Coletta', 'Vincenzo Falanga', 'Giuseppe Lauricella', 'Vincenzo Norvese', 'Adalberto Spadoni', 'Giuseppe Namio']","['Tonino Delli Colli', 'Nino Baragli', 'Giuseppe Lanci', 'Damiano Damiani', 'Damiano Damiani', 'Giovanni Fusco', 'Sergio Canevari', 'Bruno Nicolai', 'Luigi Carpentieri', 'Ermanno Donati', 'Franco Di Giacomo', 'Franco Cuccu', 'Piero Donati', 'Ugo Pirro', 'Leonardo Sciascia', 'Gianluigi Calderone', 'Lucio Trentini', 'Gianni Siragusa', 'Roberto Forges Davanzati', 'Alvaro Orsini', 'Marilù Carteny', 'Mino Giarda', 'Carlo Palmieri', 'Orietta Melaranci', 'Carlo Ferri', 'Augusto Diamanti', 'Rossana Maiuri', 'Mario Mazzoni', 'Adalberto Spadoni', 'Alfonso Donati', 'Federico Starace', 'Alberto Ridolfi', 'Elvio Dottori']","Movie Genre: ['Drama', 'Crime'] 
 Movie Overview: Set in Sicily, this violent crime drama tells the tale of an Italian cop who heads to a small island town to look into the death of a construction supplier. Once there he is shocked by the influence the Mafia has over the people and even himself. 
 Movie Release Date: 1968-02-17 
 Movie Runtime: 108 
 Movie Review: 7.0 
 Movie Language: it 
 Movie Popularity: 8.079 
 Cast: ['Franco Nero', 'Claudia Cardinale', 'Lee J. Cobb', 'Tano Cimarosa', 'Nehemiah Persoff', 'Serge Reggiani', 'Ennio Balbo', ""Ugo D'Alessio"", 'Fred Coplan', 'Giovanni Pallavicino', 'Laura De Marchi', 'Brizio Montinaro', 'Lino Coletta', 'Vincenzo Falanga', 'Giuseppe Lauricella', 'Vincenzo Norvese', 'Adalberto Spadoni', 'Giuseppe Namio'] 
 Crew: ['Tonino Delli Colli', 'Nino Baragli', 'Giuseppe Lanci', 'Damiano Damiani', 'Damiano Damiani', 'Giovanni Fusco', 'Sergio Canevari', 'Bruno Nicolai', 'Luigi Carpentieri', 'Ermanno Donati', 'Franco Di Giacomo', 'Franco Cuccu', 'Piero Donati', 'Ugo Pirro', 'Leonardo Sciascia', 'Gianluigi Calderone', 'Lucio Trentini', 'Gianni Siragusa', 'Roberto Forges Davanzati', 'Alvaro Orsini', 'Marilù Carteny', 'Mino Giarda', 'Carlo Palmieri', 'Orietta Melaranci', 'Carlo Ferri', 'Augusto Diamanti', 'Rossana Maiuri', 'Mario Mazzoni', 'Adalberto Spadoni', 'Alfonso Donati', 'Federico Starace', 'Alberto Ridolfi', 'Elvio Dottori']"
9,El amor de María Isabel,"['Romance', 'Drama', 'Comedy']","Follow up to Maria Isabel. Newly wed to a rich man, Maria Isabel must still struggle with being branded as a lowly maid and endure the scorn of her adoptive daughter and the infidelity of her husband.",1968-04-30,103,6.2,es,2.013,"['Silvia Pinal', 'Lucy Gallardo', 'José Suárez', 'Aldo Monti', 'Norma Lazareno', 'Rogelio Guerra', 'Lucy Buj', 'Tito Junco', 'Josefina Escobedo', 'Sergio Barrios', 'José Luis Jiménez', 'Amado Zumaya', 'María Antonieta de las Nieves', 'Irlanda Mora', 'Alicia del Lago', 'Sylvia Pasquel']","['Rosalío Solano', 'José W. Bustos', 'Federico Curiel', 'Yolanda Vargas Dulché', 'Edmundo Báez', 'Sergio Guerrero', 'Guillermo de la Parra']","Movie Genre: ['Romance', 'Drama', 'Comedy'] 
 Movie Overview: Follow up to Maria Isabel. Newly wed to a rich man, Maria Isabel must still struggle with being branded as a lowly maid and endure the scorn of her adoptive daughter and the infidelity of her husband. 
 Movie Release Date: 1968-04-30 
 Movie Runtime: 103 
 Movie Review: 6.2 
 Movie Language: es 
 Movie Popularity: 2.013 
 Cast: ['Silvia Pinal', 'Lucy Gallardo', 'José Suárez', 'Aldo Monti', 'Norma Lazareno', 'Rogelio Guerra', 'Lucy Buj', 'Tito Junco', 'Josefina Escobedo', 'Sergio Barrios', 'José Luis Jiménez', 'Amado Zumaya', 'María Antonieta de las Nieves', 'Irlanda Mora', 'Alicia del Lago', 'Sylvia Pasquel'] 
 Crew: ['Rosalío Solano', 'José W. Bustos', 'Federico Curiel', 'Yolanda Vargas Dulché', 'Edmundo Báez', 'Sergio Guerrero', 'Guillermo de la Parra']"
